product_name,price
Merkez / İzzetpaşa - 3+1,10500.0
Merkez / Sürsürü - 1+1,12500.0
Merkez - 1+1,21000.0
Merkez / 1800 Evler - 3+1,20500.0
Merkez / Sürsürü - 1+1,15500.0
Merkez / Nailbey - 3+1,8000.0
Merkez / Köyler - 3+1,10000.0
Merkez / 1800 Evler - 3+1,25000.0
Merkez / Sürsürü - 2+1,10000.0
Kovancılar - 3+1,12000.0
Merkez / İzzetpaşa - 3+1,13500.0
Merkez / Sürsürü - 1+1,20000.0
Merkez - 3+1,10000.0
Merkez / Sürsürü - 3+1,10000.0
Merkez / İzzetpaşa - 3+1,9000.0
Merkez / 1800 Evler - 7+1,67000.0
Merkez / Sürsürü - 1+1,22000.0
Merkez / Sürsürü - 5+1,26250.0
Merkez / Sürsürü - 1+1,19000.0
Merkez - 3+1,13000.0
Merkez / Sürsürü - 1+1,20000.0
Merkez - 2+1,8500.0
Merkez / Sürsürü - 5+1,70000.0
Merkez / 1800 Evler - 3+1,26000.0
Merkez / Sürsürü - 3+1,16000.0
Merkez / Sürsürü - 1+1,26500.0
Merkez / Nailbey - 3+1,8500.0
Merkez / İzzetpaşa - 3+1,13000.0
Merkez / Yurtbaşı - 3+1,7000.0
Merkez / Sürsürü - 2+1,7000.0
Merkez / 1800 Evler - 4+1,15500.0
Merkez - 3+1,7100.0
Merkez - 3+1,8000.0
Sivrice - 2+1,8000.0
Merkez / Doğukent - 3+1,17000.0
Merkez / Mustafapaşa - 3+1,12500.0
Merkez / İzzetpaşa - 2+1,27000.0
Merkez - 2+1,10500.0
Merkez / Sürsürü - 2+0,15250.0
Merkez / Sürsürü - 3+1,21000.0
Merkez / Nailbey - 3+1,15500.0
Merkez / İzzetpaşa - 5+1,18500.0
Merkez / Mustafapaşa - 3+1,21500.0
Maden / Gezin - 3+1,200000.0
Merkez / 1800 Evler - 1+1,23000.0
Merkez / Sürsürü - 3+1,13500.0
Merkez - Stüdyo (1+0),13500.0
Merkez / Yurtbaşı - 2+0,20000.0
Merkez / Nailbey - 3+1,9999.0
Merkez - 2+1,10700.0
Merkez - 3+1,10000.0
Merkez / İzzetpaşa - 1+1,22000.0
Merkez - 3+1,8500.0
Merkez / Nailbey - 3+1,20500.0
Merkez / 1800 Evler - 4+2,25000.0
Merkez / İzzetpaşa - 3+1,13500.0
Merkez / Doğukent - 3+1,15500.0
Merkez / Nailbey - 2+1,14000.0
Merkez / Sürsürü - 2+1,15000.0
Merkez / Yurtbaşı - 3+1,14000.0
Merkez / Doğukent - 1+1,19000.0
Merkez / İzzetpaşa - 1+1,20000.0
Merkez / Mustafapaşa - 4.5+1,12500.0
Merkez / 1800 Evler - 3+1,13500.0
Merkez / Sürsürü - 2+0,18000.0
Merkez / Sürsürü - 2+1,9000.0
Merkez / Sürsürü - 1+1,24500.0
Merkez - 2+0,14500.0
Merkez - 4+0,8000.0
Merkez / 1800 Evler - 5+1,26000.0
Merkez / Sürsürü - 1+1,24000.0
Merkez / İzzetpaşa - 3+1,15000.0
Merkez / 1800 Evler - 1+1,24500.0
Merkez / Doğukent - 1+1,17000.0
Merkez / Sürsürü - 1+1,20000.0
Merkez / Mustafapaşa - 3+1,8000.0
Merkez / Nailbey - 2+1,11000.0
Merkez - 3+1,9990.0
Merkez / İzzetpaşa - 3+1,9000.0
Merkez / Sürsürü - 1+1,23000.0
Merkez / Sürsürü - 1+1,21000.0
Merkez / 1800 Evler - 3+1,17500.0
Merkez / Yurtbaşı - 1+1,17000.0
Merkez / 1800 Evler - 3+1,12500.0
Merkez / Sürsürü - 1+1,25500.0
Merkez / 1800 Evler - 3+1,18000.0
Merkez / 1800 Evler - 4+1,14000.0
Merkez / Sürsürü - 3+1,14000.0
Merkez / Sürsürü - 2+0,16500.0
Merkez - 3+1,10500.0
Merkez / Nailbey - 3+1,8500.0
Merkez / 1800 Evler - 3+1,14500.0
Merkez / 1800 Evler - 4+1,20000.0
Merkez - 3+1,15000.0
Merkez / Yurtbaşı - 3+1,7000.0
Merkez - 3+1,10000.0
Merkez / Nailbey - 3+1,8500.0
Merkez / İzzetpaşa - 2+1,14000.0
Merkez / Yurtbaşı - 3+1,23000.0
Merkez - 2+1,8500.0
Sivrice - 4+1,40000.0
Merkez / İzzetpaşa - 3+1,9000.0
Merkez / 1800 Evler - 3+1,14700.0
Merkez / Sürsürü - 3+1,25500.0
Sivrice - 3+1,35000.0
Merkez / 1800 Evler - 1+1,16000.0
Merkez / 1800 Evler - 3+1,12000.0
Merkez - 3+1,11000.0
Merkez / Nailbey - 3+1,7500.0
Merkez / Mustafapaşa - 3+1,9000.0
Merkez / İzzetpaşa - Stüdyo (1+0),8500.0
Merkez / Sürsürü - 3+1,20000.0
Merkez / Sürsürü - 1+1,22000.0
Karakoçan - 2+1,12000.0
Merkez - 3+1,11000.0
Merkez / İzzetpaşa - 4+1,15000.0
Merkez / İzzetpaşa - 2+1,18000.0
Merkez / Mustafapaşa - 3+1,13500.0
Merkez / Sürsürü - 1+1,14000.0
Merkez / Sürsürü - 1+1,23000.0
Merkez / Mustafapaşa - 2+1,16500.0
Merkez / İzzetpaşa - 3+1,4900.0
Merkez / Mustafapaşa - 3+1,17500.0
Merkez / Sürsürü - 1+1,21500.0
Merkez / İzzetpaşa - 3+1,17000.0
Merkez / Sürsürü - 1+1,21000.0
Merkez - 3+1,7500.0
Merkez - 3+1,9000.0
Merkez - 3+1,13000.0
Merkez / Sürsürü - 1+1,14500.0
Merkez - 3+1,8300.0
Merkez - 2+1,10000.0
Merkez / Sürsürü - 3+1,13000.0
Merkez / İzzetpaşa - 3+1,13000.0
Merkez / Nailbey - 3+1,11000.0
Merkez / Sürsürü - 1+1,12500.0
Merkez / Sürsürü - 1+1,15000.0
Merkez - 3+1,10500.0
Merkez / Doğukent - 1+1,25000.0
Merkez / Sürsürü - 2+1,27000.0
Merkez / Sürsürü - 2+1,16000.0
Merkez / 1800 Evler - 3+1,20000.0
Merkez / Yurtbaşı - 3+1,7500.0
Merkez / Mustafapaşa - 3+1,10000.0
Merkez / 1800 Evler - 1+1,11500.0
Merkez / Sürsürü - 1+1,22000.0
Merkez / Yurtbaşı - 2+1,6000.0
Merkez / İzzetpaşa - 3+1,25000.0
Merkez / Nailbey - 3+1,8000.0
Merkez / Nailbey - 3+1,11000.0
Merkez / İzzetpaşa - 4+1,13500.0
Merkez / İzzetpaşa - 3+1,14000.0
Merkez / İzzetpaşa - 3+1,17500.0
Merkez / Sürsürü - 2+1,12000.0
Merkez / Mustafapaşa - 3+1,11000.0
Merkez / Mustafapaşa - 3+1,11750.0
Merkez / 1800 Evler - 4+1,37500.0
Merkez / Sürsürü - 2+1,9000.0
Merkez / İzzetpaşa - 3+1,12000.0
Merkez / Nailbey - 3+1,10000.0
Merkez / Köyler - 3+1,25000.0
Merkez / Sürsürü - 1+1,14999.0
Merkez / 1800 Evler - 1+1,15500.0
Merkez / İzzetpaşa - 3+1,17000.0
Merkez / İzzetpaşa - 3+1,9000.0
Merkez - 3+1,10000.0
Merkez / Mustafapaşa - 3+1,10000.0
Merkez / İzzetpaşa - 1.5+1,12000.0
Merkez / Köyler - 3+1,8750.0
Merkez / Sürsürü - 2+1,8000.0
Merkez - 3+1,9000.0
Merkez / Sürsürü - 5.5+1,20000.0
Merkez / Sürsürü - 3+1,15500.0
Merkez / İzzetpaşa - 1+1,16000.0
Merkez / Sürsürü - 1+1,15000.0
Merkez / Sürsürü - 3+1,25000.0
Merkez / İzzetpaşa - 3+1,10000.0
Merkez / Sürsürü - 3+1,20500.0
Merkez - 3+1,10000.0
Merkez / Mustafapaşa - 3+1,21000.0
Merkez / Nailbey - 3+1,8500.0
Merkez / Sürsürü - 2+0,19250.0
Merkez / Doğukent - 3+1,21000.0
Merkez / Sürsürü - 4+1,21500.0
Merkez / Sürsürü - 1+1,20500.0
Karakoçan - 1+1,13000.0
Merkez / 1800 Evler - 3+1,13500.0
Merkez - 3+1,11500.0
Merkez / Sürsürü - 4+1,25500.0
Merkez - 3+1,10000.0
Merkez / Sürsürü - 2+1,10000.0
Merkez / Nailbey - 1+1,15500.0
Kovancılar - 2+1,11000.0
Merkez / Yurtbaşı - 3+1,10500.0
Merkez / Sürsürü - 3+1,13000.0
Merkez / 1800 Evler - 1+1,25000.0
Merkez / İzzetpaşa - 3+1,13000.0
Merkez - 3+1,14000.0
Merkez / Sürsürü - 4+1,24500.0
Merkez / İzzetpaşa - 2+1,19000.0
Merkez / Sürsürü - 2+1,18000.0
Merkez - 2+1,24000.0
Merkez / 1800 Evler - 4+1,22000.0
Merkez - 2+1,10500.0
Merkez / Sürsürü - 2+1,27000.0
Merkez / Mustafapaşa - 2+1,13500.0
Merkez / Sürsürü - 1+1,19000.0
Merkez / Sürsürü - 2+1,20500.0
Merkez / Sürsürü - 1+1,20750.0
Merkez / Nailbey - 3+1,7250.0
Merkez / İzzetpaşa - 2+1,22000.0
Merkez / Yurtbaşı - 3+1,13000.0
Merkez / Sürsürü - 4+1,18000.0
Merkez - 4+1,24500.0
Merkez / İzzetpaşa - 3+1,21000.0
Merkez - 2+1,9500.0
Merkez / 1800 Evler - 4+1,17000.0
Karakoçan - 2+1,7000.0
Merkez / 1800 Evler - 4+1,16500.0
Merkez - 3+1,11500.0
Merkez / 1800 Evler - 4+1,22000.0
Merkez / Sürsürü - 1+1,13500.0
Merkez / Sürsürü - 1+1,25000.0
Merkez - 1+1,20500.0
Merkez - 3+1,11500.0
Merkez - 3+1,12500.0
Merkez / Sürsürü - 2+1,9500.0
Merkez / İzzetpaşa - 2+1,14000.0
Merkez - 3+1,10000.0
Merkez / Sürsürü - 3+1,13000.0
Merkez / Sürsürü - 2+1,20000.0
Merkez / Nailbey - 3+1,16000.0
Merkez / 1800 Evler - 1+1,25500.0
Merkez / İzzetpaşa - 1+1,23500.0
Merkez / 1800 Evler - 3+1,25000.0
Merkez / Sürsürü - 1+1,22500.0
Merkez / Sürsürü - 4+1,23000.0
Merkez / Yurtbaşı - 3+1,20000.0
Merkez / İzzetpaşa - 1+1,23000.0
Merkez / Sürsürü - 3+1,20000.0
Merkez / Sürsürü - 3+1,25000.0
Merkez / Sürsürü - 3+1,16000.0
Merkez / Sürsürü - 3+1,20000.0
Merkez / İzzetpaşa - 3+1,9000.0
Merkez / Sürsürü - 3+1,25500.0
Merkez / İzzetpaşa - 2+1,10000.0
Merkez - 3+1,7500.0
Merkez / İzzetpaşa - 3+1,10999.0
Merkez / Mustafapaşa - 3+1,15000.0
